covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
TP53,0.09172972398569615,1.0960685410071194,0.038128654967231036,0.016998933470969077,0.1664605145004232,1.0171442375108042,1.1811168979588444,0.0,2.405794908436491,0.01613732131523559,5.953455068776772
MYC,-0.13662757537903727,0.8722950297917532,0.036175027515097644,-0.20752932644837413,-0.0657258243097004,0.8125894110622515,0.936387563806322,0.0,-3.7768478634056537,0.0001588256786549448,12.620268195826888
EGFR,-0.08300820576130959,0.9203435950692752,0.03591957348871706,-0.15340927613923477,-0.012607135383384399,0.8577785816534338,0.9874720016351053,0.0,-2.3109463086298576,0.02083582074047569,5.5847902596458106
KRAS,-0.05581928214729084,0.9457100271337711,0.036417052121432474,-0.12719539272841646,0.015556828433834775,0.8805616004532303,1.0156784658347828,0.0,-1.5327787093024918,0.12533038818000086,2.996191835365423
BRAF,-0.045729011529112316,0.9553008026214845,0.036936250518876564,-0.11812273227005926,0.026664709211834635,0.8885869876237211,1.0270233935450106,0.0,-1.2380523438821205,0.21569665274976835,2.2129243064222783
NFKB1,0.05476090291682474,1.0562880290937104,0.035535370368617696,-0.014887143182957766,0.12440894901660725,0.9852231224747511,1.1324789024480788,0.0,1.5410252474865342,0.12331064137506709,3.0196307890915475
STAT3,0.0011072897033545033,1.0011079029749337,0.03425632871838071,-0.06603388082723685,0.06824846023394585,0.9360991479408258,1.0706312847346198,0.0,0.03232365360740982,0.974213946207441,0.03768945888586393
ESR1,-0.006848175455783374,0.993175219862209,0.035275075075082825,-0.07598605215489226,0.06228970124332551,0.9268291337384276,1.0642706205939476,0.0,-0.19413638216806248,0.8460690946657621,0.24115260830192037
PTEN,0.006228983224418328,1.006248423684228,0.036506544778510126,-0.06532252974146029,0.07778049619029694,0.9367652799848947,1.0808853741711273,0.0,0.17062647977808817,0.8645174753951612,0.21003296802255825
BRCA1,0.026513349119845552,1.0268679549535853,0.03989243859275079,-0.05167439377742171,0.10470109201711282,0.9496380245583133,1.110378659701414,0.0,0.6646209170241985,0.5062929871521817,0.9819555937935777
tumor_code,-0.049591703176799305,0.9516178877516317,0.032771391542748364,-0.11382245032384661,0.014639043970248004,0.8924163900580726,1.0147467195553725,0.0,-1.513262050899176,0.13021310811634307,2.941053407808104
